id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_obs,TP,FN,FP,recall,precision,f1
118,Hanau,4247500.0,3002500.0,900.0,Main,Kinzig,Rhine,DE,,8411,43.3,50.4,68.0,79.6,90.8,105.2,116.0,126.8,141.0,3,2,1,0,0.6666666666666666,1.0,0.8
119,Ilbenstadt,4232500.0,3017500.0,1075.0,Main,Nidda,Rhine,DE,,8211,28.4,32.1,41.1,47.0,52.8,60.1,65.7,71.2,78.5,4,2,2,0,0.5,1.0,0.6666666666666666
120,Marburg,4237500.0,3082500.0,1675.0,Lahn,Lahn,Rhine,DE,,5211,89.4,106.1,147.3,174.6,200.8,234.7,260.0,285.3,318.7,0,0,0,0,,,
153,Lobith,4052500.0,3202500.0,159675.0,Rhine,Rhine,Rhine,NL,,3311,5597.2,6252.0,7863.4,8930.4,9953.8,11278.5,12271.2,13260.2,14565.1,1,1,0,0,1.0,1.0,1.0
154,Borgharen-Dorp,4022500.0,3097500.0,22050.0,Meuse,Meuse,Rhine,NL,,2331,1191.1,1378.6,1840.0,2145.4,2438.4,2817.7,3101.9,3385.1,3758.7,1,1,0,0,1.0,1.0,1.0
225,Gisingen,4292500.0,2677500.0,1300.0,Ill,Ill,Rhine,AT,,15611,145.9,166.5,217.3,250.9,283.1,324.9,356.1,387.3,428.4,0,0,0,0,,,
226,Bangs,4282500.0,2677500.0,4650.0,Rhine,Rhine,Rhine,AT,,15711,508.1,563.6,700.3,790.9,877.7,990.1,1074.3,1158.2,1269.0,1,0,1,0,0.0,,0.0
227,Lustenau (Eisenbahnbrücke),4292500.0,2697500.0,6350.0,Rhine,Rhine,Rhine,AT,,15511,684.6,759.4,943.4,1065.2,1182.1,1333.3,1446.7,1559.6,1708.6,0,0,0,0,,,
335,"Bern, Schönau",4132500.0,2647500.0,2975.0,Aare,Aare,Rhine,CH,,12711,314.3,362.5,480.9,559.4,634.6,732.0,805.0,877.7,973.7,0,0,0,1,,0.0,0.0
336,"Brügg, Aegerten",4117500.0,2672500.0,8300.0,Aare,Aare,Rhine,CH,,12511,645.7,723.1,913.7,1039.9,1160.9,1317.6,1435.0,1551.9,1706.3,1,1,0,1,1.0,0.5,0.6666666666666666
337,Brugg,4182500.0,2707500.0,11550.0,Aare,Aare,Rhine,CH,,12511,806.9,900.5,1130.9,1283.4,1429.8,1619.2,1761.1,1902.5,2089.1,1,1,0,1,1.0,0.5,0.6666666666666666
338,Murgenthal,4157500.0,2687500.0,9950.0,Aare,Aare,Rhine,CH,,12511,728.6,811.6,1016.0,1151.4,1281.2,1449.2,1575.1,1700.6,1866.1,1,1,0,1,1.0,0.5,0.6666666666666666
339,Thun,4137500.0,2632500.0,2650.0,Aare,Aare,Rhine,CH,,12711,287.3,333.0,445.3,519.7,591.0,683.4,752.6,821.6,912.5,0,0,0,1,,0.0,0.0
340,"Untersiggenthal, Stilli",4187500.0,2712500.0,17525.0,Aare,Aare,Rhine,CH,,12111,1373.6,1537.1,1939.5,2205.8,2461.3,2792.1,3039.9,3286.8,3612.6,1,1,0,1,1.0,0.5,0.6666666666666666
343,Berlingen,4242500.0,2727500.0,11325.0,Rhine,Untersee,Rhine,CH,,15111,1078.4,1206.6,1522.0,1730.8,1931.2,2190.5,2384.8,2578.4,2833.8,1,0,1,0,0.0,,0.0
345,Fürstenau,4277500.0,2622500.0,1550.0,Hinterrhein,Hinterrhein,Rhine,CH,,15811,173.9,195.7,249.3,284.9,318.9,363.0,396.1,429.0,472.4,0,0,0,0,,,
347,"Baden, Limmatpromenade",4192500.0,2707500.0,2425.0,Aare,Limmat,Rhine,CH,,12211,260.6,287.3,352.9,396.3,438.0,491.9,532.3,572.6,625.7,2,1,1,0,0.5,1.0,0.6666666666666666
348,"Zuerich,Unterhard",4207500.0,2697500.0,2225.0,Aare,Limmat,Rhine,CH,,12211,227.9,252.5,313.2,353.4,391.9,441.7,479.1,516.3,565.4,2,1,1,0,0.5,1.0,0.6666666666666666
349,"Weesen, Biäsche",4252500.0,2667500.0,1150.0,Rhine,Linth,Rhine,CH,,12221,118.4,130.5,160.3,180.0,199.0,223.5,241.8,260.1,284.2,1,1,0,0,1.0,1.0,1.0
350,"Luzern, Geissmattbrücke",4192500.0,2662500.0,2800.0,Aare,Reuss,Rhine,CH,,12411,343.2,381.0,473.9,535.4,594.5,670.9,728.1,785.2,860.4,3,2,1,0,0.6666666666666666,1.0,0.8
351,Mellingen,4192500.0,2697500.0,3425.0,Aare,Reuss,Rhine,CH,,12411,373.0,420.1,536.0,612.7,686.3,781.6,853.0,924.1,1018.0,1,1,0,1,1.0,0.5,0.6666666666666666
352,"Mühlau, Hünenberg",4197500.0,2677500.0,3250.0,Aare,Reuss,Rhine,CH,,12411,349.8,394.4,504.0,576.5,646.1,736.2,803.7,870.9,959.7,1,1,0,1,1.0,0.5,0.6666666666666666
353,"Basel, Rheinhalle",4142500.0,2717500.0,35800.0,Rhine,Rhine,Rhine,CH,,11711,2425.5,2655.0,3219.7,3593.6,3952.3,4416.6,4764.5,5111.1,5568.4,1,1,0,0,1.0,1.0,1.0
