station_id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter
541,Turawa,4892500.0,3102500.0,1475.0,"Oder, headwaters",Mala Panew,Oder,PL,2.0,9211
345,Fürstenau,4277500.0,2622500.0,1550.0,Hinterrhein,Hinterrhein,Rhine,CH,,15811
2032,Strei - PETRENI,5327500.0,2602500.0,1975.0,Tisa,Strei,Danube,RO,,122211
651,Ebro En Novillas,3377500.0,2162500.0,27425.0,Ebro,Ebro,Ebro,ES,1.0,9311
689,Nagymaros,4992500.0,2782500.0,183175.0,Danube,Danube,Danube,HU,,153111
1889,SLOBOZIA,5697500.0,2547500.0,9500.0,Ialomita,Bratul Borcea,Danube,RO,,51211
620,Nela En Trespaderne,3227500.0,2292500.0,1075.0,Nela,Nela,Ebro,ES,2.0,22111
583,Novi Iskar,5412500.0,2297500.0,3825.0,Danube,Iskar,Danube,BG,,71413
99,Medno,4667500.0,2567500.0,2125.0,Sava,Sava,Danube,SI,,109511
1690,Besor - Reim,6647500.0,1292500.0,2650.0,Besor,Besor,Besor,IL,1.0,1
148,Granåker,4792500.0,4602500.0,11850.0,Vindel,Vindel,Umealven,SE,2.0,2
1114,Laksfors,4472500.0,4727500.0,3575.0,Vefsna,Vefsna,Vefsna,NO,1.0,1
794,Botarlau,5662500.0,2662500.0,2600.0,Siret,Putna,Danube,RO,,41211
1618,Mikhalishki,5347500.0,3642500.0,10325.0,Neris,Neris,Nemunas,BY,2.0,271
1519,Trews Weir,3372500.0,3157500.0,1250.0,Exe,Exe,Exe,UK,1.0,1
514,Sepopol,5032500.0,3512500.0,3675.0,Lyna,Lyna,Pregolya,PL,2.0,23
1405,Graiguenamanagh,3187500.0,3407500.0,2825.0,Barrow,Barrow,Barrow,IE,1.0,5
299,Dølplass,4342500.0,4342500.0,2125.0,"Glomma, headwaters",Folla,Glomma,NO,2.0,316
1598,Svetlogorsk,5637500.0,3462500.0,24500.0,Berezina,Berezina,Dnieper,BY,2.0,921
647,Ebro En Logroño,3297500.0,2237500.0,10525.0,Ebro,Ebro,Ebro,ES,1.0,15111
3,Pfelling,4517500.0,2867500.0,37725.0,Danube,Danube,Danube,DE,,211311
1483,Bewdley,3487500.0,3322500.0,4300.0,"Severn, headwaters",Severn,Severn,UK,1.0,5
2259,ENNISCORTHY,3212500.0,3397500.0,1275.0,Slaney,Slaney,Slaney,IE,1.0,1
3253,Le Rhône à Tarascon,3887500.0,2307500.0,95975.0,Rhone,Rhone,Rhone,FR,1.0,111
1406,John's Bridge,3162500.0,3427500.0,1600.0,Nore,Nore,Barrow,IE,2.0,4
90,Meissen,4562500.0,3122500.0,53950.0,"Elbe, below Ohre",Elbe,Elbe,DE,1.0,9111
3100,La Moselle à Toul,4017500.0,2847500.0,3325.0,Moselle,Moselle,Rhine,FR,,4571
1360,Salzinnes-Ronet,3947500.0,3052500.0,2900.0,Meuse,Sambre,Rhine,BE,,2611
2613,NOVOSARATOVKA,5427500.0,4332500.0,210225.0,Lake Ladoga sub-catchment,NEVA,Neva,RU,1.0,11
2047,VILLENEUVE LES SORINIERES,3462500.0,2737500.0,1650.0,La Sevre,La Goulaine,Loire,FR,,1431
508,Lochow,5112500.0,3327500.0,2475.0,Narew,Liwiec,Vistula,PL,4.0,2412
846,Rugvica,4812500.0,2527500.0,12925.0,Sava,Sava,Danube,HR,,109111
2546,AHLERGAARDE,4247500.0,3647500.0,1075.0,Skern,SKJERN A,Skern,DK,1.0,1
251,Zemun,5142500.0,2472500.0,406800.0,Danube,Danube,Danube,RS,,111111
2182,Lenggries,4437500.0,2732500.0,1425.0,Isar,Isar,Danube,DE,,211213
4456,Brańsk,5182500.0,3367500.0,1200.0,Narew,Nurzec,Vistula,PL,4.0,2414
552,BOGUSŁAW,4867500.0,3227500.0,4300.0,Warta,Prosna,Oder,PL,3.0,2611
2995,Canelles,3542500.0,2142500.0,1650.0,Segre,Noguera Ribagorzana,Ebro,ES,3.0,2411
2212,PTUSZA,4772500.0,3382500.0,2000.0,Warta,Gwda,Oder,PL,4.0,2241
635,Ebro En Palazuelos,3232500.0,2282500.0,4500.0,Ebro,Ebro,Ebro,ES,1.0,21111
1624,Zhlobin,5652500.0,3492500.0,29975.0,"Dnieper, headwaters",Dnieper,Dnieper,BY,1.0,931
2174,Rudolstadt,4412500.0,3067500.0,2675.0,Saale,Saale,Elbe,DE,2.0,4511
627,N. Pallaresa En Collegats,3582500.0,2172500.0,1525.0,Segre,Noguera Pallaresa,Ebro,ES,3.0,2611
170,Trautenfels,4622500.0,2717500.0,1450.0,Enns,Enns,Danube,AT,,191611
565,Praha-Chuchle,4637500.0,2997500.0,26850.0,Vltava,Vltava,Elbe,CZ,2.0,12111
1131,Holmfoss i Numedalslågen,4317500.0,4017500.0,5150.0,Lagen,Lagen,Lagen,NO,1.0,1
573,Vernovice,4922500.0,3012500.0,1100.0,"Oder, headwaters",Olza,Oder,CZ,2.0,9411
2803,SazavaPorice,4647500.0,2982500.0,4250.0,Vltava,Sazava,Elbe,CZ,3.0,12411
1947,BERGEFORSENS KRV,4692500.0,4397500.0,25825.0,Indalselven,Indalselven,Indalsalven,SE,1.0,1
12,Tangermuende,4457500.0,3272500.0,97875.0,"Elbe, below Saale",Elbe,Elbe,DE,1.0,3111
619,Gallego En Zaragoza,3417500.0,2132500.0,3850.0,Gallego,Gallego,Ebro,ES,2.0,4111
234,Jamena,5032500.0,2457500.0,63375.0,Sava,Sava,Danube,RS,,103111
233,Cokonjar,5307500.0,2402500.0,3950.0,Danube,Veliki Timok,Danube,RS,,72011
4007,Paper,5162500.0,2052500.0,1900.0,Shkumbin,Shkumbin,Shkumbin,AL,1.0,1
1879,TORUŃ,4887500.0,3357500.0,180025.0,"Vistula, below Narew",Vistula,Vistula,PL,1.0,1311
1631,Slavgorod,5697500.0,3572500.0,17875.0,Sozh,Sozh,Dnieper,BY,2.0,851
778,Zerind,5192500.0,2687500.0,3625.0,Tisa,Crisul Negru,Danube,RO,,124611
787,Podari,5412500.0,2452500.0,9325.0,Danube,Jiu,Danube,RO,,71811
3145,L'Aire à Chevières,3952500.0,2927500.0,1025.0,Oise,Aire,Seine,FR,3.0,441
4500,Mallow Railway Br.,3067500.0,3387500.0,1325.0,Munster Blackwater,Blackwater,Blackwater,IE,1.0,1
904,München,4437500.0,2777500.0,2850.0,Isar,Isar,Danube,DE,,211213
2207,RABASZENTMIKLOS,4882500.0,2742500.0,2525.0,Raab,Raab,Danube,HU,,172111
3207,La Garonne à Portet-sur-Garonne,3627500.0,2307500.0,10000.0,"Garonne, below Ariege",Garonne,Garonne,FR,1.0,531
3094,Rannu-Jõesuu,5252500.0,4027500.0,3575.0,Emajogi,Emajogi,Narva,EE,2.0,2
2682,KRASNODAR,6537500.0,2872500.0,45375.0,Kuban,Kuban,Kuban,RU,1.0,1
3172,La Loire à Orléans,3717500.0,2787500.0,37250.0,Loire,Loire,Loire,FR,,7111
3218,L'Isle à Abzac,3522500.0,2487500.0,3825.0,Isle,Isle,Dordogne,FR,2.0,2
1807,BURZENIN,4932500.0,3192500.0,5350.0,Warta,Warta,Oder,PL,2.0,2911
1645,Krasnoberezhie,5577500.0,3362500.0,5200.0,Pripyat,Ubort,Dnieper,BY,3.0,632
2741,SAVARSIN,5262500.0,2622500.0,25925.0,Tisa,Mures,Danube,RO,,122111
1416,Bellagill,3122500.0,3512500.0,1500.0,Suck,Suck,Shannon,IE,2.0,61
2000,SIMO,5012500.0,4797500.0,3125.0,Simojoki,Simojoki,Simojoki,FI,1.0,1
460,Beilngries oberh. der Sulz,4427500.0,2877500.0,2200.0,Altmuhl,Altmuhl,Danube,DE,,211811
831,Prijepolje,5102500.0,2302500.0,3225.0,Sava,Lim,Danube,RS,,102431
3035,Genil - Puente Genil,3012500.0,1717500.0,6050.0,Genil,Genil,Guadalquivir,ES,2.0,411
4001,Permet,5202500.0,1962500.0,2900.0,Vjosa,Vjosa,Vjosa,AL,1.0,3
312,Mjøndalen bru,4317500.0,4072500.0,17050.0,Drammen,Drammen,Drammen,NO,1.0,11
3109,La Meuse à Domrémy-la-Pucelle,4002500.0,2822500.0,1500.0,Meuse,Meuse,Rhine,FR,,2791
1637,Pinsk,5417500.0,3332500.0,12650.0,Pripyat,Pripyat,Dnieper,BY,2.0,673
103,Moste,4667500.0,2557500.0,1825.0,Sava,Ljubljanica,Danube,SI,,109411
1697,Gorican,4832500.0,2617500.0,13075.0,Drava,Mur,Danube,HR,,142111
2173,BIENENBUETTEL,4352500.0,3342500.0,1450.0,Elbe,Ilmenau,Elbe,DE,2.0,1121
4346,Repartiment,3422500.0,1877500.0,6350.0,Turia,Turia,Turia,ES,1.0,1
238,Varvarin,5237500.0,2357500.0,31400.0,Velika Morava,Velika Morava,Danube,RS,,82111
2357,TADCASTER,3587500.0,3472500.0,1100.0,Ouse,Wharfe,Ouse,UK,2.0,6
968,Corbones_Ca,2942500.0,1747500.0,1750.0,Corbones,Corbones,Guadalquivir,ES,2.0,361
1929,Le Loing àÉpisy,3787500.0,2827500.0,3900.0,Loing,Loing,Seine,FR,2.0,811
2496,KARAHACILI,6437500.0,1812500.0,11150.0,Goksu (southern branch),GOEKSU NEHRI,Goksu,TR,1.0,1
1454,Ponte Da Barca,2797500.0,2267500.0,2100.0,Lima,Lima,Lima,PT,1.0,1
353,"Basel, Rheinhalle",4142500.0,2717500.0,35800.0,Rhine,Rhine,Rhine,CH,,11711
682,Korosszakal,5202500.0,2727500.0,2550.0,Tisa,Crisul Repede,Danube,HU,,124431
1859,WYSZKÓW,5087500.0,3327500.0,38100.0,Narew,Bug,Vistula,PL,3.0,2411
3081,Almanzora - Cantoria,3237500.0,1672500.0,1100.0,Almanzora,Almanzora,Almanzora,ES,1.0,1
1856,MIĘDZYCHÓD,4712500.0,3297500.0,30525.0,Warta,Warta,Oder,PL,2.0,2511
15,Aken,4457500.0,3202500.0,69875.0,"Elbe, below Mulde",Elbe,Elbe,DE,1.0,5111
2569,KAMENKA BUGSKAYA,5347500.0,3097500.0,2400.0,Narew,Bug,Vistula,UA,3.0,2419
3215,La Vézère à Larche,3647500.0,2482500.0,2525.0,Vezere,Vezere,Dordogne,FR,2.0,4
1830,CZARNKÓW,4762500.0,3337500.0,12225.0,Warta,Notec,Oder,PL,3.0,2231
2234,NOWA WIES PODGORNA,4857500.0,3352500.0,3300.0,Warta,Warta,Oder,PL,2.0,2271
585,Tarnene,5492500.0,2367500.0,2275.0,Danube,Vit,Danube,BG,,71211
2911,NAVE DI ROSANO,4427500.0,2297500.0,4000.0,Arno,Sieve,Arno,IT,1.0,1
5183,Ruecas en Hernán Cortés,2947500.0,1917500.0,1800.0,Ruecas,Ruecas,Guadiana,ES,2.0,811
3238,Le Doubs à Mathay,4077500.0,2707500.0,2275.0,Saone,Doubs,Rhone,FR,3.0,645
355,Domat/Ems,4282500.0,2637500.0,3250.0,Rhine,Rhine,Rhine,CH,,15711
933,Rockenau SKA,4247500.0,2927500.0,12975.0,Neckar,Neckar,Rhine,DE,,10111
1453,Ponte Cavez,2842500.0,2222500.0,1925.0,Tamega,Tamega,Douro,PT,2.0,2111
1119,Kjølemo,4177500.0,3897500.0,1750.0,Mandal,Mandal,Mandal,NO,1.0,1
1620,Kamenets,5257500.0,3347500.0,2150.0,Narew,Lesnaya,Vistula,BY,4.0,2416
3097,Oore,5182500.0,4022500.0,4825.0,Parnu,Parnu,Parnu,EE,1.0,1
95,Gornja Radgona,4772500.0,2642500.0,10200.0,Drava,Mur,Danube,SI,,142111
2844,IZNAJAR 5026,3042500.0,1697500.0,4700.0,Genil,Genil,Guadalquivir,ES,2.0,411
678,Kiskore also,5107500.0,2762500.0,65000.0,Tisa,Tisza,Danube,HU,,125311
1632,Gomel,5727500.0,3457500.0,38775.0,Sozh,Sozh,Dnieper,BY,2.0,811
1802,SMUKAŁA,4852500.0,3367500.0,4450.0,"Vistula, below Narew",Brda,Vistula,PL,2.0,1211
