start;end;ID
2018-01-01 0:00;2019-12-31 23:00;668
2018-01-01 0:00;2019-12-31 22:00;670
2018-01-01 0:00;2019-12-31 23:00;671
2018-01-01 0:00;2019-12-31 23:00;672
2018-01-01 1:00;2019-12-31 18:00;673
2018-01-01 5:00;2019-12-31 10:45;674
2018-01-01 0:00;2019-12-31 22:30;675
2018-01-01 0:00;2019-12-31 22:30;676
2018-01-01 7:00;2019-12-31 19:00;677
2018-01-01 0:00;2019-12-31 19:00;678
2018-01-01 0:00;2019-12-31 19:00;679
2018-01-01 0:00;2019-12-31 23:00;682
2018-01-01 0:00;2018-03-19 23:00;683
2018-01-01 0:00;2019-12-31 23:00;684
2018-01-01 0:00;2019-12-31 23:46;685
2018-01-01 0:00;2019-12-31 23:45;686
2018-01-01 0:00;2019-12-31 23:01;688
2018-01-01 0:02;2019-12-31 23:00;689
2018-01-01 0:00;2019-12-31 22:30;690
2018-01-01 0:00;2019-12-31 23:30;691
2018-01-01 0:15;2019-12-31 23:45;692
2018-01-01 0:00;2019-12-31 23:01;693
2018-01-01 0:00;2019-12-31 22:15;694
2018-01-01 6:00;2019-12-31 23:00;695
2018-01-01 0:15;2019-12-31 23:00;696
2018-01-01 0:00;2019-12-31 19:00;697
2018-01-01 0:00;2019-12-31 23:46;699
2018-01-01 0:00;2019-12-31 23:00;700
2018-01-01 0:00;2019-12-31 23:45;701
2018-01-01 0:00;2019-12-31 19:00;702
2018-01-01 0:00;2019-12-31 22:00;703
2018-01-01 0:00;2019-12-31 19:00;704
2018-01-01 0:00;2019-12-31 20:00;705
2018-01-01 0:00;2019-12-31 23:45;706
2018-01-01 6:55;2019-12-31 23:45;707
2018-01-01 7:00;2019-12-31 15:00;713
2018-01-01 6:46;2019-12-31 6:45;715
2018-01-01 0:00;2021-10-31 23:59;772
2018-01-01 0:00;2021-10-31 23:59;773
2018-01-01 0:00;2021-10-31 23:59;774
2018-01-01 0:00;2019-01-01 0:00;775
2018-01-01 0:00;2019-01-01 0:00;776
2018-01-01 0:00;2019-01-01 0:00;777
2018-01-01 0:00;2019-01-01 0:00;778
2018-01-01 0:00;2019-01-01 0:00;779
2018-01-01 0:00;2019-01-01 0:00;780
2018-01-01 0:00;2019-01-01 0:00;781
2018-01-01 0:00;2019-01-01 0:00;782
2018-01-01 0:00;2019-01-01 0:00;783
2018-01-01 0:00;2019-01-01 0:00;784
2018-01-01 0:00;2019-01-01 0:00;785
2018-01-01 0:00;2019-01-01 0:00;786
2018-01-01 0:00;2019-01-01 0:00;787
2018-01-01 0:00;2019-01-01 0:00;788
2018-01-01 0:00;2019-01-01 0:00;789
2018-01-01 0:00;2019-01-01 0:00;790
2018-01-01 0:00;2019-01-01 0:00;791
2018-01-01 0:00;2019-01-01 0:00;792
2018-01-01 0:00;2019-01-01 0:00;793
2018-01-01 0:00;2019-01-01 0:00;794
2018-01-01 0:00;2019-01-01 0:00;795
2018-01-01 0:00;2019-01-01 0:00;796
2018-01-01 0:00;2019-01-01 0:00;797
2018-01-01 0:00;2019-01-01 0:00;798
2018-01-01 0:00;2019-01-01 0:00;799
2018-01-01 0:00;2019-01-01 0:00;800
2018-01-01 0:00;2019-01-01 0:00;801
2018-01-01 0:00;2019-01-01 0:00;802
2018-01-01 0:00;2019-01-01 0:00;803
2018-01-01 0:00;2019-01-01 0:00;804
2018-01-01 0:00;2019-12-31 23:45;813
2018-01-01 0:00;2019-12-31 18:00;814
2018-01-01 0:00;2019-12-31 23:00;815
2018-01-01 0:00;2019-12-31 19:00;816
2018-01-01 5:45;2019-12-31 20:30;817
2018-01-01 0:00;2019-12-31 23:00;818
2018-01-01 0:00;2020-01-01 0:00;822
2018-01-01 0:00;2020-01-01 0:00;823
2018-01-01 0:00;2020-06-30 0:00;829
2018-01-01 0:00;2020-01-01 0:00;831
2018-01-01 0:00;2020-01-01 0:00;832
2018-01-01 0:00;2019-12-31 21:00;836
2018-01-01 0:00;2019-12-31 21:00;837
2018-01-01 0:00;2019-12-31 21:00;838
2018-01-01 0:00;2019-12-31 21:00;839
2018-01-01 0:00;2019-12-31 21:00;840
2018-01-01 0:00;2019-12-31 21:00;841
2018-01-01 0:00;2019-12-31 21:00;842
2018-01-01 0:00;2019-12-31 21:00;843
2018-01-01 0:00;2019-12-31 21:00;844
2018-01-01 0:00;2019-12-31 21:00;845
2018-01-01 0:00;2019-12-31 21:00;846
2018-01-01 0:00;2019-12-31 21:00;850
2018-01-01 0:00;2019-12-31 21:00;851
2018-01-01 0:00;2019-12-31 21:00;852
2018-01-01 0:00;2019-12-31 21:00;853
2018-12-31 22:00;2019-12-31 21:00;854
2018-01-01 0:00;2019-12-31 21:00;857
2018-01-01 0:00;2019-12-31 21:00;858
2018-01-01 0:00;2019-12-31 21:00;859
2018-01-01 0:00;2019-12-31 21:00;860
2018-01-01 0:00;2019-12-31 21:00;863
2018-01-01 0:00;2019-12-31 21:00;864
2018-01-01 0:00;2019-12-31 21:00;866
2018-01-01 0:00;2019-12-31 21:00;867
2018-01-01 0:00;2019-12-31 21:00;868
2018-01-01 0:00;2019-12-31 21:00;869
2018-01-01 0:00;2019-12-31 23:00;930
2018-01-01 0:00;2019-12-31 23:00;931
2018-01-01 0:00;2019-12-31 23:00;932
2018-01-01 0:00;2019-12-31 23:00;933
2018-01-01 0:00;2019-12-31 23:00;934
2018-01-01 0:00;2021-12-31 22:45;936
2020-12-31 23:00;2021-12-31 22:45;940
2018-01-01 0:00;2021-12-31 22:45;941
2018-01-01 0:00;2021-12-31 22:45;945
2018-01-01 0:00;2020-02-11 14:00;954
2018-01-01 0:00;2020-02-11 14:00;956
2018-06-29 5:00;2020-02-11 14:00;960
2018-01-01 0:00;2020-02-11 14:00;980
2018-01-01 0:00;2020-02-11 14:00;986
2018-01-01 0:00;2020-02-11 14:00;990
2018-01-01 0:00;2019-11-16 23:00;998
2018-01-01 0:00;2021-05-25 14:00;1002
